timestamp,daily_total
2014-07-01,745967
2014-07-02,733640
2014-07-03,710142
2014-07-04,552565
2014-07-05,555470
2014-07-06,550285
2014-07-07,636570
2014-07-08,726535
2014-07-09,748567
2014-07-10,761596
2014-07-11,779020
2014-07-12,795013
2014-07-13,715651
2014-07-14,695729
2014-07-15,728331
2014-07-16,750480
2014-07-17,769302
2014-07-18,781336
2014-07-19,789771
2014-07-20,701268
2014-07-21,669555
2014-07-22,747934
2014-07-23,784669
2014-07-24,771552
2014-07-25,786686
2014-07-26,798280
2014-07-27,711598
2014-07-28,605561
2014-07-29,707802
2014-07-30,739760
